# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 18:58:21
New Turbine Simulation	[OpPoint]
Windspeed [m/s]	Power [W]	Windspeed [m/s]	Power [W]
2.2799999e+01	1.4285724e+07	END	END
2.2900000e+01	1.4312806e+07	END	END
2.3000000e+01	1.4340153e+07	END	END
2.3100000e+01	1.4366809e+07	END	END
2.3200001e+01	1.4393629e+07	END	END
2.3299999e+01	1.4418861e+07	END	END
2.3400000e+01	1.4444305e+07	END	END
2.3500000e+01	1.4468878e+07	END	END
2.3600000e+01	1.4492901e+07	END	END
2.3700001e+01	1.4517667e+07	END	END
2.3799999e+01	1.4543434e+07	END	END
2.3900000e+01	1.4569688e+07	END	END
2.4000000e+01	1.4593004e+07	END	END
2.4100000e+01	1.4615766e+07	END	END
2.4200001e+01	1.4637741e+07	END	END
2.4299999e+01	1.4661900e+07	END	END
2.4400000e+01	1.4685600e+07	END	END
2.4500000e+01	1.4708973e+07	END	END
2.4600000e+01	1.4732575e+07	END	END
2.4700001e+01	1.4753940e+07	END	END
2.4799999e+01	1.4774511e+07	END	END
2.4900000e+01	1.4795271e+07	END	END
2.5000000e+01	1.4815703e+07	END	END
