# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 18:58:32
New Turbine Simulation	[OpPoint]
Windspeed [m/s]	Power Coefficient [-]	Windspeed [m/s]	Power Coefficient [-]
2.3799999e+01	1.4125344e-01	END	END
2.3900000e+01	1.3973960e-01	END	END
2.4000000e+01	1.3822097e-01	END	END
2.4100000e+01	1.3672042e-01	END	END
2.4200001e+01	1.3523556e-01	END	END
2.4299999e+01	1.3379329e-01	END	END
2.4400000e+01	1.3236865e-01	END	END
2.4500000e+01	1.3096252e-01	END	END
2.4600000e+01	1.2957950e-01	END	END
2.4700001e+01	1.2819766e-01	END	END
2.4799999e+01	1.2682971e-01	END	END
2.4900000e+01	1.2548386e-01	END	END
2.5000000e+01	1.2415528e-01	END	END
